annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Marrow.regulatory T cell,7.896690948112172e-5,3.5353288315720377e-6,2.211834133379277,1.0468680200139249,0.8468759073202092,2,-29335.780345748684,58677.56069149737,58700.03776076577,64851.138856358455,13256,-0.18231583243474345,0.17818798559795673,0.30624818535958165,FALSE
Limb_Muscle.B cell,8.452272666117497e-5,9.09156512873821e-6,2.21182798861247,1.1205279747002572,0.8550879579563583,2,-29335.743513225723,58677.48702645145,58699.96409571985,64850.77852683294,13256,-0.1729583530847881,0.1633917745482123,0.28982408408728344,FALSE
Lung.monocyte,8.759420804559735e-5,1.2163278218180196e-5,2.2118245915284844,1.1612505406738916,0.8593870251750182,2,-29335.723150623253,58677.446301246506,58699.92337051491,64850.579322036596,13256,-0.15334104774232193,0.14229690749109752,0.2812259496499636,FALSE
Marrow.hematopoietic precursor cell,9.794483035705634e-5,2.2514681355167987e-5,2.211813143615607,1.2984838509936458,0.8727445292687531,2,-29335.65452998205,58677.3090599641,58699.7861292325,64849.90801938113,13256,-0.11662288372739073,0.10234473353662263,0.25451094146249376,FALSE
Lung.ciliated columnar cell of tracheobronchial tree,1.0091567410244211e-4,2.548574921357183e-5,2.211809857815718,1.3378731882766313,0.8762848861056428,2,-29335.63483430051,58677.26966860102,58699.74673786942,64849.71534156571,13256,-0.14136702652881128,0.12221954092612203,0.2474302277887144,FALSE
Fat.unknown cell type,1.2554945095565325e-4,5.012138437832103e-5,2.211782612283186,1.6644924979873816,0.9014898247057164,2,-29335.47151850108,58676.94303700216,58699.42010627056,64848.117686920596,13256,-0.1548254047183384,0.12000554203973604,0.1970203505885672,FALSE
Tongue.keratinocyte,1.2614561749793438e-4,5.071759589392322e-5,2.211781952904907,1.6723972711390875,0.9020198584874313,2,-29335.467566015654,58676.93513203131,58699.41220129971,64848.07902178811,13256,-0.12875136079980423,0.0995593615147813,0.19596028302513757,FALSE
Trachea.endothelial cell,1.2683381336339513e-4,5.1405843675245144e-5,2.2117811917391608,1.6815223038312164,0.9026275659702353,2,-29335.46300338814,58676.92600677628,58699.403076044684,64848.03438797788,13256,-0.15014163939861955,0.11578434349740066,0.19474486805952945,FALSE
Marrow.pre-natural killer cell,1.295166606063011e-4,5.4088893305492824e-5,2.2117782244252786,1.7170952454392596,0.9049549578887044,2,-29335.445216513923,58676.890433027846,58699.36750229625,64847.86038853861,13256,-0.18877422640920644,0.14406069524611753,0.19009008422259127,FALSE
Spleen.B cell,1.3105980846866576e-4,5.563215757908857e-5,2.211776517653145,1.7375565448886097,0.9062642484287975,2,-29335.43498565379,58676.86997130758,58699.34704057598,64847.76030573908,13256,-0.1781492962485877,0.13514956050870963,0.18747150314240496,FALSE
Mammary_Gland.luminal epithelial cell of mammary gland,1.3430539846849646e-4,5.887799241832692e-5,2.211772927919889,1.7805915051499976,0.90895018475428,2,-29335.413467782637,58676.826935565274,58699.30400483368,64847.54980890905,13256,-0.13230632413159696,0.09915130965894677,0.18209963049144,FALSE
Lung.epithelial cell of lung,1.3889382601340282e-4,6.346676610291535e-5,2.2117678529525593,1.841432321214106,0.912596865725112,2,-29335.383046940955,58676.76609388191,58699.24316315031,64847.252220657574,13256,-0.17392066029159203,0.12816613701812554,0.17480626854977596,FALSE
Lung.unknown cell type,1.4203426781897793e-4,6.66074448156806e-5,2.211764379503277,1.8830737152047596,0.9149957850587594,2,-29335.36222602764,58676.72445205528,58699.20152132368,64847.04854334621,13256,-0.2274744164891271,0.16576731343888806,0.17000842988248113,FALSE
Lung.T cell,1.4301750604947235e-4,6.759075721929353e-5,2.2117632920028996,1.8961112372921554,0.9157312527313732,2,-29335.35570721231,58676.71141442462,58699.188483693026,64846.98477419154,13256,-0.23374375369454523,0.1697493453477764,0.1685374945372536,FALSE
Skin.basal cell of epidermis,1.5786523929971257e-4,8.243961054588134e-5,2.211746869757586,2.092992022843528,0.9260001711774234,2,-29335.257266779077,58676.514533558155,58698.99160282656,64846.02180573817,13256,-0.1507910271434959,0.1042297540485812,0.1479996576451533,FALSE
Kidney.endothelial cell,1.61309388524381e-4,8.588401958875558e-5,2.2117430603598014,2.1386622405774824,0.9281746016757115,2,-29335.23443186971,58676.46886373942,58698.945933007824,64845.79843109936,13256,-0.18909278497618087,0.12930158761304886,0.1436507966485769,FALSE
Lung.B cell,1.8471348934964067e-4,1.092898859617053e-4,2.2117171741038515,2.4490143808105835,0.9411887206661336,2,-29335.079259238686,58676.15851847737,58698.635587745775,64844.28052864287,13256,-0.2554691174929828,0.16324607197125648,0.11762255866773297,FALSE
Limb_Muscle.T cell,1.8551907650840154e-4,1.1009553389196292e-4,2.2117162830736095,2.45969719894821,0.9415874174131604,2,-29335.073918012666,58676.14783602533,58698.624905293735,64844.228281272364,13256,-0.32144671860891694,0.20495955688528636,0.11682516517367904,FALSE
Fat.natural killer cell,1.9861715502783706e-4,1.2319460049825537e-4,2.2117017957217207,2.6333920438848373,0.9476691350974706,2,-29334.987074170225,58675.97414834045,58698.451217608854,64843.37878888176,13256,-0.2886681855999121,0.1778857515368659,0.10466172980505883,FALSE
Marrow.precursor B cell,2.0025011827741763e-4,1.248276869344478e-4,2.2116999895483707,2.6550472414095725,0.9483772746472565,2,-29334.97624709757,58675.95249419514,58698.42956346354,64843.272880992095,13256,-0.19375943770635087,0.11891228896640003,0.10324545070548685,FALSE
Marrow.immature NK T cell,2.0042667543136573e-4,1.2500425740757937e-4,2.211699794263528,2.6573886210848374,0.9484532085643369,2,-29334.975076465667,58675.950152931335,58698.42722219974,64843.26143015535,13256,-0.2968009216537288,0.18206971387329102,0.10309358287132615,FALSE
