gwas,specificity_id,annotation,tau,se,pvalue
BMI_UKBB_Loh2018,mousebrain190306,SCGLU4,1.5607267086591832e-08,1.0053611984746496e-08,0.06028279791750987
BMI_UKBB_Loh2018,mousebrain190306,PSNP5,8.424915423735609e-09,5.530086929102423e-09,0.06382071846404913
BMI_UKBB_Loh2018,mousebrain190306,TEINH20,8.8929268302447e-09,5.865404687313302e-09,0.06473869863879901
BMI_UKBB_Loh2018,mousebrain190306,PSNP6,6.716264889184591e-09,4.478687093662344e-09,0.06685827951797732
BMI_UKBB_Loh2018,mousebrain190306,TEINH7,9.801616205238491e-09,6.546659938918926e-09,0.06717146807430859
BMI_UKBB_Loh2018,mousebrain190306,TEINH8,1.217024645895786e-08,8.132555118704572e-09,0.06726366156135853
BMI_UKBB_Loh2018,mousebrain190306,TEGLU1,6.451863801236996e-09,4.320424455319985e-09,0.06767407036537036
BMI_UKBB_Loh2018,mousebrain190306,SCINH9,1.2321749621330984e-08,8.578207339052372e-09,0.07544406772782476
BMI_UKBB_Loh2018,mousebrain190306,MSN4,6.8878627335005686e-09,4.800035622472793e-09,0.07564914081668908
BMI_UKBB_Loh2018,mousebrain190306,TEINH14,6.517947864690831e-09,4.632405918826212e-09,0.07970880604044472
BMI_UKBB_Loh2018,mousebrain190306,HBCHO1,1.444778480786669e-08,1.0299630116598344e-08,0.08034600982852791
BMI_UKBB_Loh2018,mousebrain190306,SCGLU1,9.284697015844636e-09,6.67422188166084e-09,0.0820933059930899
BMI_UKBB_Loh2018,mousebrain190306,HYPEP4,8.989955698419976e-09,6.531598650720822e-09,0.08435215168684151
BMI_UKBB_Loh2018,mousebrain190306,HYPEP2,8.39853892003855e-09,6.147052198564448e-09,0.08592696586286375
BMI_UKBB_Loh2018,mousebrain190306,TEGLU22,5.107135881571769e-09,3.7897995303507945e-09,0.0888934489195648
BMI_UKBB_Loh2018,mousebrain190306,ENT1,1.5582506144521303e-08,1.1609581665450108e-08,0.08976382435140551
BMI_UKBB_Loh2018,mousebrain190306,MEINH14,2.685207630832612e-08,2.0089577569220637e-08,0.09067379956690767
BMI_UKBB_Loh2018,mousebrain190306,PSPEP4,5.706720816781688e-09,4.318076276736468e-09,0.09315257397612142
BMI_UKBB_Loh2018,mousebrain190306,SCGLU2,2.1025534502451516e-08,1.6082187041236298e-08,0.09554179243834597
BMI_UKBB_Loh2018,mousebrain190306,HBADR,7.468257366114853e-09,5.7126731048964415e-09,0.09555305049277556
BMI_UKBB_Loh2018,mousebrain190306,DEINH8,9.877962059348398e-09,7.58743037390444e-09,0.0964778444336537
BMI_UKBB_Loh2018,mousebrain190306,MEINH8,9.549055241496994e-09,7.356820837372632e-09,0.09714596103720567
BMI_UKBB_Loh2018,mousebrain190306,SCINH5,7.836360550866981e-09,6.145520902772192e-09,0.10113096893481316
BMI_UKBB_Loh2018,mousebrain190306,DECHO2,6.5069388517071034e-09,5.266746824715408e-09,0.10832671741271176
BMI_UKBB_Loh2018,mousebrain190306,PSNF3,6.773190807380003e-09,5.527225325693344e-09,0.11020788252986836
BMI_UKBB_Loh2018,mousebrain190306,PSNF2,6.855780262699635e-09,5.761007503445697e-09,0.1170170104553982
BMI_UKBB_Loh2018,mousebrain190306,SCINH11,7.508186326051623e-09,6.337336347110609e-09,0.11805730820380765
BMI_UKBB_Loh2018,mousebrain190306,DEGLU2,5.095963613274318e-09,4.309314584631736e-09,0.11849452140205635
BMI_UKBB_Loh2018,mousebrain190306,HBSER1,6.097871297952637e-09,5.22263678580664e-09,0.12148714329102855
BMI_UKBB_Loh2018,mousebrain190306,MEINH1,7.3449044088859305e-09,6.341798095963435e-09,0.12339655866317754
BMI_UKBB_Loh2018,mousebrain190306,HYPEP7,7.564401028360696e-09,6.617136835427951e-09,0.1264874984195795
BMI_UKBB_Loh2018,mousebrain190306,SCGLU10,6.622823868847427e-09,5.79385259393785e-09,0.12650315991388522
BMI_UKBB_Loh2018,mousebrain190306,HBGLU10,5.090425481869823e-09,4.484314472822306e-09,0.12815362605583275
BMI_UKBB_Loh2018,mousebrain190306,HBGLU8,6.441855355749193e-09,5.74795210519453e-09,0.13120314522302073
BMI_UKBB_Loh2018,mousebrain190306,SCGLU7,8.571538979009353e-09,7.902366455937605e-09,0.1390317007730046
BMI_UKBB_Loh2018,mousebrain190306,TEGLU16,5.057044056694823e-09,4.693166599483479e-09,0.14062100482706175
BMI_UKBB_Loh2018,mousebrain190306,OBINH4,5.444916278151004e-09,5.173080357444507e-09,0.1462740605345207
BMI_UKBB_Loh2018,mousebrain190306,PSPEP5,6.109670585652066e-09,5.882214119327062e-09,0.14947946520126698
BMI_UKBB_Loh2018,mousebrain190306,CBINH2,6.221838653579583e-09,6.1426027565931795e-09,0.15555410724035612
BMI_UKBB_Loh2018,mousebrain190306,OBDOP1,5.879332631394541e-09,5.811319807834234e-09,0.15583991903994038
BMI_UKBB_Loh2018,mousebrain190306,OBINH1,6.278433725324421e-09,6.325264320933982e-09,0.16045337341012875
BMI_UKBB_Loh2018,mousebrain190306,SCINH1,6.349813015072947e-09,6.450245995102339e-09,0.16245216774175547
BMI_UKBB_Loh2018,mousebrain190306,TEINH21,5.039974011788778e-09,5.170173479423602e-09,0.16482547294395455
BMI_UKBB_Loh2018,mousebrain190306,HBGLU4,5.441379667976198e-09,5.934879558032315e-09,0.17961127091002133
BMI_UKBB_Loh2018,mousebrain190306,CBNBL1,5.114124846121911e-09,5.849755919288365e-09,0.1909921903456407
BMI_UKBB_Loh2018,mousebrain190306,PSPEP8,4.254514092801233e-09,5.6146114616248534e-09,0.22429807679818875
BMI_UKBB_Loh2018,mousebrain190306,MSN3,2.400923753578557e-09,3.555502268535774e-09,0.2497521436681947
BMI_UKBB_Loh2018,mousebrain190306,TEINH6,3.5583480004291438e-09,5.446259901513535e-09,0.2567633151429822
BMI_UKBB_Loh2018,mousebrain190306,OBNBL5,3.727843004337786e-09,5.779867949756271e-09,0.25947322536712225
BMI_UKBB_Loh2018,mousebrain190306,MBDOP2,2.9692543035744765e-09,4.643705296177895e-09,0.26127653300974746
BMI_UKBB_Loh2018,mousebrain190306,MEINH5,2.9933789231577227e-09,4.7409671655239e-09,0.26389417841012663
BMI_UKBB_Loh2018,mousebrain190306,HBINH1,3.67301395302568e-09,6.459889285094185e-09,0.2848179679568512
BMI_UKBB_Loh2018,mousebrain190306,SCGLU9,3.072954407197589e-09,5.8768813413560045e-09,0.3005258802328216
BMI_UKBB_Loh2018,mousebrain190306,TEGLU14,2.493804552097029e-09,4.929295299141887e-09,0.3064581522435882
BMI_UKBB_Loh2018,mousebrain190306,OBINH3,2.4755774761220005e-09,5.219792114981175e-09,0.317654601304819
BMI_UKBB_Loh2018,mousebrain190306,SCINH6,2.036273657394873e-09,4.630502765145802e-09,0.3300583050151129
BMI_UKBB_Loh2018,mousebrain190306,SCGLU5,1.9070853986286488e-09,5.037166506556029e-09,0.3524914172290299
BMI_UKBB_Loh2018,mousebrain190306,SCGLU8,2.52015260198537e-09,7.742163867088331e-09,0.3723975166051156
BMI_UKBB_Loh2018,mousebrain190306,DGNBL2,1.2685999315130476e-09,4.38761845372225e-09,0.386240267545005
BMI_UKBB_Loh2018,mousebrain190306,SYNOR2,1.6013520836713647e-09,5.611166805743712e-09,0.3876739680387973
BMI_UKBB_Loh2018,mousebrain190306,NFOL1,9.940162480429751e-10,4.004727161083954e-09,0.4019856827635725
BMI_UKBB_Loh2018,mousebrain190306,PSNP1,1.0011610621119847e-09,4.1839352324365994e-09,0.40544154553892864
BMI_UKBB_Loh2018,mousebrain190306,MSN6,1.3611047386757173e-09,6.157729409954946e-09,0.4125306293066747
BMI_UKBB_Loh2018,mousebrain190306,OBINH2,9.374154164228359e-10,4.356975785264004e-09,0.41482410565401695
BMI_UKBB_Loh2018,mousebrain190306,OBNBL4,1.2654244933157176e-09,6.450108080729872e-09,0.42223207498251225
BMI_UKBB_Loh2018,mousebrain190306,ENT5,9.67738847851062e-10,5.0287848394962984e-09,0.4236988206688214
BMI_UKBB_Loh2018,mousebrain190306,HYPEP6,7.974174675092463e-10,4.849087044691344e-09,0.4346896616384004
BMI_UKBB_Loh2018,mousebrain190306,SYCHO2,8.689347003255876e-10,7.837428607379462e-09,0.4558597687823712
BMI_UKBB_Loh2018,mousebrain190306,NFOL2,4.5438161662245237e-10,4.1751299270102745e-09,0.4566684527821074
BMI_UKBB_Loh2018,mousebrain190306,CBNBL2,4.071492012856797e-10,5.389403220991653e-09,0.4698900503665256
BMI_UKBB_Loh2018,mousebrain190306,CR,3.1019235555077303e-10,5.492131117225085e-09,0.4774799466839838
BMI_UKBB_Loh2018,mousebrain190306,PSNP2,-3.594521152396388e-10,4.542457726636662e-09,0.5315360400819565
BMI_UKBB_Loh2018,mousebrain190306,SZNBL,-6.151628543152176e-10,4.835547378984063e-09,0.5506155947541304
BMI_UKBB_Loh2018,mousebrain190306,ENT6,-6.063783319143101e-10,4.072753349748759e-09,0.5591784360079057
BMI_UKBB_Loh2018,mousebrain190306,PSPEP7,-1.2000798826076984e-09,4.966831215582852e-09,0.5954622299172143
BMI_UKBB_Loh2018,mousebrain190306,PSPEP6,-1.3183008769470944e-09,4.858228991624675e-09,0.6069406908055753
BMI_UKBB_Loh2018,mousebrain190306,MFOL2,-1.2079133150517728e-09,4.188713295729722e-09,0.6134695200852267
BMI_UKBB_Loh2018,mousebrain190306,PSNP4,-1.658774443133354e-09,5.201254384172227e-09,0.6251057108994476
BMI_UKBB_Loh2018,mousebrain190306,OBNBL3,-2.634576318065273e-09,6.829931485944313e-09,0.6501553034574303
BMI_UKBB_Loh2018,mousebrain190306,ENT3,-1.6709241654352284e-09,3.729633914887665e-09,0.6729280623954355
BMI_UKBB_Loh2018,mousebrain190306,DGNBL1,-2.4300394759026772e-09,5.407020265212962e-09,0.6734367424797276
BMI_UKBB_Loh2018,mousebrain190306,OBDOP2,-2.702025030824127e-09,5.778378241787302e-09,0.6799680941034613
BMI_UKBB_Loh2018,mousebrain190306,SYNOR1,-2.467928589172399e-09,5.0376798860946645e-09,0.6878955060983252
BMI_UKBB_Loh2018,mousebrain190306,MOL2,-1.9208538888109554e-09,3.5318448013177777e-09,0.7067335055358841
BMI_UKBB_Loh2018,mousebrain190306,OPC,-2.134220388186461e-09,3.756336457779424e-09,0.7150386668065372
BMI_UKBB_Loh2018,mousebrain190306,COP2,-2.543228700430936e-09,4.222478000112056e-09,0.7265151496435609
BMI_UKBB_Loh2018,mousebrain190306,ENT2,-2.4879579273921285e-09,3.9676505843188e-09,0.7346902909148595
BMI_UKBB_Loh2018,mousebrain190306,ENT7,-3.1793168393113417e-09,5.044422210945054e-09,0.7357390066808659
BMI_UKBB_Loh2018,mousebrain190306,SYNOR5,-3.5759631580383165e-09,5.6248168619022185e-09,0.7375294886378111
BMI_UKBB_Loh2018,mousebrain190306,MOL1,-2.5611395674044223e-09,3.9610247266774295e-09,0.7410497479280104
BMI_UKBB_Loh2018,mousebrain190306,HYPEP8,-4.25290220485236e-09,6.141485126122477e-09,0.7556844101805731
BMI_UKBB_Loh2018,mousebrain190306,PSNP3,-3.288059240853486e-09,4.060239880849638e-09,0.7909778832748733
BMI_UKBB_Loh2018,mousebrain190306,SYCHO1,-4.2765171124298776e-09,5.212318427367007e-09,0.7940240407093155
BMI_UKBB_Loh2018,mousebrain190306,ENT4,-3.931951424139296e-09,4.561741580884967e-09,0.8056399664073977
BMI_UKBB_Loh2018,mousebrain190306,MFOL1,-2.872923852226041e-09,3.265065823480422e-09,0.8105426299288107
BMI_UKBB_Loh2018,mousebrain190306,RGSZ,-5.0682451981659394e-09,4.687393434172056e-09,0.8602070886209354
BMI_UKBB_Loh2018,mousebrain190306,ACNT2,-4.064709348281249e-09,3.7454502616684755e-09,0.8610921309718265
BMI_UKBB_Loh2018,mousebrain190306,CBPC,-5.6385011864666145e-09,4.799115723066168e-09,0.8799834760720551
BMI_UKBB_Loh2018,mousebrain190306,MGL1,-7.1303814932197825e-09,5.3916130248127394e-09,0.9069983203568814
BMI_UKBB_Loh2018,mousebrain190306,DETPH,-8.273592261825356e-09,6.169309357860013e-09,0.9100542036085078
BMI_UKBB_Loh2018,mousebrain190306,ACNT1,-5.100277135604666e-09,3.780049340584837e-09,0.9113735952845912
BMI_UKBB_Loh2018,mousebrain190306,MOL3,-5.24891457321122e-09,3.755984864799838e-09,0.9188653953671042
BMI_UKBB_Loh2018,mousebrain190306,COP1,-5.676979671454854e-09,4.033017319886854e-09,0.9203790643415516
