gwas,specificity_id,annotation,q,h2g,h2g_se,prop_h2g,prop_h2g_se,enr,enr_se,enr_pval
RA_Okada2014,mousebrain,HBGLU2,3,0.0242343221672567,0.0024769404205161197,0.165876434677824,0.0101336026377406,1.29656614960574,0.0792088772535361,0.000293068504855461
RA_Okada2014,mousebrain,HBGLU2,4,0.0141194724138899,0.00175907619959433,0.0966434186763589,0.00910538445416339,1.4488295451954698,0.136503345993311,0.0013638230822936401
RA_Okada2014,mousebrain,HBGLU2,5,0.00508498400900567,0.0007210699081119509,0.0348051417318883,0.00413045360485442,1.72651685818095,0.204892077028429,0.0005476835949270831
T2D_UKBB_Loh2018,mousebrain,HBGLU2,0,0.0171815446559131,0.00137454541573083,0.432844466865002,0.0185644077962564,0.7477551271963879,0.0320707140224223,9.06132761931097e-17
T2D_UKBB_Loh2018,mousebrain,HBGLU2,1,0.0034023221996527,0.00023511876376643902,0.0857126857977118,0.00388353305536191,1.1340390148976298,0.0513818690831711,0.00917507986118738
T2D_UKBB_Loh2018,mousebrain,HBGLU2,2,0.0068510904406406704,0.000353879380009772,0.17259545917499602,0.0042126036510048105,1.31993258996334,0.0322161015946664,2.5526382466309e-25
T2D_UKBB_Loh2018,mousebrain,HBGLU2,3,0.00702365132044817,0.000413073278865457,0.176942683101474,0.0075696574078287,1.3830650132755602,0.0591679075943821,1.2860312740153699e-11
T2D_UKBB_Loh2018,mousebrain,HBGLU2,4,0.0038746377488116397,0.0003079099435761,0.0976114513721675,0.00696053585261075,1.4633418046913702,0.10434885408417098,5.01376113146465e-06
T2D_UKBB_Loh2018,mousebrain,HBGLU2,5,0.00136125355584558,0.000130842617639291,0.0342932536886485,0.0031643215589606303,1.70112453704166,0.156966880305663,4.4452107597348705e-06
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU2,0,0.2826268424134,0.0136267630912377,0.45196306521008,0.0119329447494713,0.780783226275218,0.0206146117186045,5.99219557935915e-26
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU2,1,0.0617519080173594,0.00269586628299075,0.0987506402143967,0.00232398865877462,1.3065403062219099,0.0307480017071218,1.0553828783293799e-20
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU2,2,0.112024935936224,0.0040328937589168895,0.179144815097357,0.0024228124340405803,1.37001912391107,0.0185285818430259,2.6504413775574995e-73
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU2,3,0.10063167539974799,0.00453574356249976,0.160925268394603,0.00513387639060825,1.2578655673538899,0.0401287280936034,1.03243863420769e-10
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU2,4,0.0518850255359946,0.00314508651875373,0.0829720028696026,0.00446405360849691,1.2438745527421,0.0669228473900095,0.00022795817087247597
HEIGHT_UKBB_Loh2018,mousebrain,HBGLU2,5,0.016411335947781,0.00140803692421937,0.0262442082139604,0.00212966320431268,1.30184983184539,0.10564242067501099,0.00407366713983995
WHRadjBMI_UKBB_Loh2018,mousebrain,HBGLU2,0,0.0821348382519821,0.00452026063522496,0.505029107041038,0.0131511908517384,0.8724568132024421,0.0227191777669015,3.53679942906277e-08
WHRadjBMI_UKBB_Loh2018,mousebrain,HBGLU2,1,0.0142888253228395,0.0007416804640931559,0.0878588531619207,0.0021941549088122397,1.16243431602327,0.0290302100344248,3.3952390119721096e-08
WHRadjBMI_UKBB_Loh2018,mousebrain,HBGLU2,2,0.0260374866707434,0.00128235298819091,0.160098795137045,0.00288370988070647,1.2243637134218601,0.022053318608367997,2.15705315631211e-21
WHRadjBMI_UKBB_Loh2018,mousebrain,HBGLU2,3,0.0239386723060594,0.0014129222335054,0.147193645909267,0.00528499746616022,1.15053291984292,0.041309959601462005,0.000305760809197425
WHRadjBMI_UKBB_Loh2018,mousebrain,HBGLU2,4,0.0122244304729754,0.000921084430632423,0.0751653419820674,0.00452155854537707,1.12684101752477,0.0677849324930374,0.0607608769832263
WHRadjBMI_UKBB_Loh2018,mousebrain,HBGLU2,5,0.00400961719569232,0.000384033410454742,0.0246542567686619,0.00210439848561984,1.22297993396814,0.104389158640441,0.0324345986015247
WHRadjBMI_UKBB_Loh2018,mousebrain,HBINH8,0,0.11276251246175499,0.00597325518997886,0.693367619040819,0.0106503880097819,0.910211623366496,0.0139811936606979,4.60712125170374e-11
WHRadjBMI_UKBB_Loh2018,mousebrain,HBINH8,1,0.0178628919849502,0.000883746778621692,0.109837486008384,0.0021321927707836697,1.2797829592375802,0.0248434671351656,3.27647842362736e-25
WHRadjBMI_UKBB_Loh2018,mousebrain,HBINH8,2,0.0173211038805222,0.0008879757174172449,0.106506074533144,0.00367025093570407,1.2475406689013102,0.0429908559435173,2.7142949186694e-09
WHRadjBMI_UKBB_Loh2018,mousebrain,HBINH8,3,0.00846766368635145,0.000554984449602076,0.0520669829083064,0.00287739891806821,1.28465172125981,0.0709942321673824,4.31945581251037e-05
WHRadjBMI_UKBB_Loh2018,mousebrain,HBINH8,4,0.00315634923509255,0.00026558777060401004,0.0194081375646866,0.0015604064460143401,1.32457489171641,0.106495287988052,0.00183525146645455
WHRadjBMI_UKBB_Loh2018,mousebrain,HBINH8,5,0.00305967572785727,0.000302466793038145,0.0188136999446594,0.00185903710018038,1.5870638885518602,0.156822456925171,0.000116922201767785
T2D_UKBB_Loh2018,mousebrain,HBINH8,0,0.025484829130809,0.0017858807993081699,0.64149886305247,0.0196441417507079,0.8421214165358579,0.0257876567372564,1.41963819065218e-10
T2D_UKBB_Loh2018,mousebrain,HBINH8,1,0.00447233606001614,0.000223164468135496,0.112576720956726,0.0030861949932302103,1.31169944181228,0.0359591238360907,1.34198307376505e-21
T2D_UKBB_Loh2018,mousebrain,HBINH8,2,0.00506722572696744,0.00032117880088291097,0.127551160966982,0.0066598152885669,1.4940486856678603,0.0780086061407923,3.22528261539813e-11
T2D_UKBB_Loh2018,mousebrain,HBINH8,3,0.0026109061830685,0.00024031995686171298,0.0657211919835987,0.00569105942266913,1.6215428221309,0.140415842723189,5.81356845034506e-06
T2D_UKBB_Loh2018,mousebrain,HBINH8,4,0.0010699121259440901,0.000127047623822397,0.0269316073824269,0.0031484955229151,1.83803988473548,0.214879872034863,6.76245172276043e-05
T2D_UKBB_Loh2018,mousebrain,HBINH8,5,0.0010217966942084901,0.000141889570136042,0.0257204556577976,0.00357012530536826,2.16969583291231,0.301164415634446,7.3778558395584e-05
RA_Okada2014,mousebrain,HBINH8,0,0.0996647256795227,0.009422596879146471,0.6818236700126651,0.02631879333927,0.8950574161372741,0.0345497409347205,0.0027948169525569802
RA_Okada2014,mousebrain,HBINH8,1,0.0173228680386597,0.0014031014873352801,0.11850874399878901,0.0042773889057444395,1.3808170288850399,0.0498384443284304,3.66732753477927e-14
RA_Okada2014,mousebrain,HBINH8,2,0.0160920396416083,0.00181685191915681,0.110088433511687,0.008668463886069809,1.2895020174528,0.10153656758243401,0.0050135650461244
RA_Okada2014,mousebrain,HBINH8,3,0.00764426727671823,0.00129857594221174,0.052295757938765,0.00770303513245093,1.29029630099621,0.190057437344793,0.12905125556824698
RA_Okada2014,mousebrain,HBINH8,4,0.0029132785124820005,0.0006962316014203,0.0199302434598245,0.00441059296960128,1.3602077986458798,0.30101603956809697,0.23406722814310602
RA_Okada2014,mousebrain,HBINH8,5,0.00253657524365348,0.0007365684378584,0.0173531510782699,0.00483436860817074,1.4638566315991899,0.40781195961161604,0.256269239289306
HEIGHT_UKBB_Loh2018,mousebrain,HBINH8,0,0.4079276014138661,0.0197164063984175,0.651709903159591,0.0155461098687201,0.855525860494491,0.0204080050929066,3.0534023784063895e-13
HEIGHT_UKBB_Loh2018,mousebrain,HBINH8,1,0.0782072424270162,0.0029338046221904102,0.12494480445018699,0.0018642860296556602,1.4558074605642,0.0217219237129652,3.629527575976279e-71
HEIGHT_UKBB_Loh2018,mousebrain,HBINH8,2,0.0762046532580735,0.00368230125452146,0.12174544459114199,0.00517771567931238,1.42604442090911,0.0606482861213707,4.05660373839964e-13
HEIGHT_UKBB_Loh2018,mousebrain,HBINH8,3,0.0364390476444357,0.0027535822214971198,0.0582154483522911,0.00438520338137523,1.43635316955827,0.10819638007216399,3.7656979780060706e-05
