Annotation,Coefficient p-value,Coefficient,Coefficient std error,Annotation size,h2g prop.,h2g enrichment,h2g enrichment P-value
HYPEN,0.995643914499,-9.99937694653e-9,3.81197755415e-9,NA,NA,NA,NA
EPEN,0.99616013733,-9.02891488517e-9,3.38689869537e-9,NA,NA,NA,NA
VECA,0.997151440753,-1.0889492403e-8,3.93872845843e-9,NA,NA,NA,NA
VLMC1,0.997599793691,-1.35613826271e-8,4.80877843655e-9,NA,NA,NA,NA
ENTG2,0.998238378368,-1.13692529609e-8,3.89629568955e-9,NA,NA,NA,NA
ENTG3,0.998869580501,-1.24368618535e-8,4.07280020291e-9,NA,NA,NA,NA
ENTG4,0.998922412591,-1.15001972362e-8,3.74846990924e-9,NA,NA,NA,NA
ABC,0.999220656037,-1.29434594275e-8,4.09146216219e-9,NA,NA,NA,NA
ENTG1,0.999342689447,-1.24016702081e-8,3.86011921108e-9,NA,NA,NA,NA
VECV,0.999401186409,-1.36426646994e-8,4.21142086655e-9,NA,NA,NA,NA
EPMB,0.99963196097,-1.30489773885e-8,3.86547483087e-9,NA,NA,NA,NA
ENTG5,0.99965596708,-1.31201514769e-8,3.86535868639e-9,NA,NA,NA,NA
VECC,0.999764647166,-1.41188431307e-8,4.03753613981e-9,NA,NA,NA,NA
ENTG6,0.999859730403,-1.39500982756e-8,3.84021223198e-9,NA,NA,NA,NA
ENTG7,0.999886746707,-1.38492758899e-8,3.75577989569e-9,NA,NA,NA,NA
SATG2,0.999970502163,-1.67739690924e-8,4.17596126253e-9,NA,NA,NA,NA
VLMC2,0.999979434527,-1.58624999433e-8,3.86792766573e-9,NA,NA,NA,NA
CHOR,0.999986669807,-1.37936892882e-8,3.28400526566e-9,NA,NA,NA,NA
SATG1,0.999995716233,-2.0684354205e-8,4.64765972266e-9,NA,NA,NA,NA
PER2,0.999995800324,-1.67173778878e-8,3.75271384672e-9,NA,NA,NA,NA
PER1,0.999999495933,-1.68884669959e-8,3.45364302332e-9,NA,NA,NA,NA
PER3,0.999999869187,-2.08317917324e-8,4.0456510459e-9,NA,NA,NA,NA
ENMFB,0.99999991353,-2.1896278483e-8,4.18963724911e-9,NA,NA,NA,NA
